orth,phon
b,b
bb,b
ç,s
c,k
ch,ʃ
d,d
dd,d
f,f
ff,f
g,g
ʒ,ʒ
Ʒ,ʒ
gn,ɲ
h,
j,ʒ
k,k
l,l
ll,l
m,m
mm,m
n,n
nn,n
ng,ŋ
p,p
pp,p
ph,f
r,r
s,s
ss,s
tt,t
t,t
th,t
v,v
w,w
x,gz
z,z
a,a
à,a
â,ɑ
ai,e
aî,ɛ
aï,ai
aie,ɛ
aou,au
aoû,au
au,o
ay,ɛ
aye,ɛj
e,ə
é,e
ée,e
è,ɛ
ê,ɛ
eau,o
ei,ɛ
eî,ɛ
eu,œ
eû,ø
i,i
î,i
ï,j
ie,i
o,ɔ
ô,o
œ,œ
oe,oe
oê,wa
oë,ɔɛ
œu,œ
oi,wa
oie,wa
oï,oi
ou,u
oû,u
oue,u
oy,way
u,y
û,y
ue,ɥɛ
i,j
ɥ,ɥ
am,ɑ̃
an,ɑ̃
aen,ɑ̃
aim,ɛ̃
ain,ɛ̃
aon,ɑ̃
cqu,k
cte,t
em,ɑ̃
en,ɑ̃
ein,ɛ̃
eun,œ̃
gu,g
ien,jɛ̃
il,j
ill,ij
im,ɛ̃
in,ɛ̃
oin,wɛ̃
om,ɔ̃
on,ɔ̃
qu,k
ti,tj
uil,ɥil
uin,ɥɛ̃
um,ɥɛ̃
un,œ̃
ym,ɛ̃
yn,ɛ̃
