Orth,Phon
ሀ,hə
ሁ,hu
ሂ,hi
ሃ,ha
ሄ,he
ህ,h
ሆ,ho
ለ,lə
ሉ,lu
ሊ,li
ላ,la
ሌ,le
ል,l
ሎ,lo
ሏ,lwa
ሐ,hə
ሑ,hu
ሒ,hi
ሓ,ha
ሔ,he
ሕ,h
ሖ,ho
ሗ,hʷa
መ,mə
ሙ,mu
ሚ,mi
ማ,ma
ሜ,me
ም,m
ሞ,mo
ሟ,mʷa
ፙ,mjə
ሠ,sə
ሡ,su
ሢ,si
ሣ,sa
ሤ,se
ሥ,s
ሦ,so
ሧ,swa
ረ,rə
ሩ,ru
ሪ,ri
ራ,ra
ሬ,re
ር,r
ሮ,ro
ሯ,rwa
ፘ,rjə
ሰ,sə
ሱ,su
ሲ,si
ሳ,sa
ሴ,se
ስ,s
ሶ,so
ሷ,swa
ቀ,kʼə
ቁ,kʼu
ቂ,kʼi
ቃ,kʼa
ቄ,kʼe
ቅ,kʼ
ቆ,kʼo
ቋ,kʼʷa
ቈ,kʼʷe
ቍ,kʼʷ
በ,bə
ቡ,bu
ቢ,bi
ባ,ba
ቤ,be
ብ,b
ቦ,bo
ቧ,bʷa
ተ,tə
ቱ,tu
ቲ,ti
ታ,ta
ቴ,te
ት,t
ቶ,to
ቷ,twa
ኀ,hə
ኁ,hu
ኂ,hi
ኃ,ha
ኄ,he
ኅ,h
ኆ,ho
ኋ,hʷa
ኈ,hʷe
ነ,nə
ኑ,nu
ኒ,ni
ና,na
ኔ,ne
ን,n
ኖ,no
ኗ,nwa
አ,ʔə
ኡ,ʔu
ኢ,ʔi
ኣ,ʔa
ኤ,ʔe
እ,ʔɨ
ኦ,ʔo
ኧ,wa
ከ,kə
ኩ,ku
ኪ,ki
ካ,ka
ኬ,ke
ክ,k
ኮ,ko
ኳ,kʷa
ኰ,kʷe
ኵ,kʷ
ወ,wə
ዉ,wu
ዊ,wi
ዋ,wa
ዌ,we
ው,w
ዎ,wo
ዐ,ʔə
ዑ,ʔu
ዒ,ʔi
ዓ,ʔa
ዔ,ʔe
ዕ,ʔɨ
ዖ,ʔo
ዘ,zə
ዙ,zu
ዚ,zi
ዛ,za
ዜ,ze
ዝ,z
ዞ,zo
ዟ,zwa
የ,jə
ዩ,ju
ዪ,ji
ያ,ja
ዬ,je
ይ,j
ዮ,jo
ደ,də
ዱ,du
ዲ,di
ዳ,da
ዴ,de
ድ,d
ዶ,do
ዷ,dwa
ገ,ɡə
ጉ,ɡu
ጊ,ɡi
ጋ,ɡa
ጌ,ɡe
ግ,ɡ
ጎ,ɡo
ጓ,ɡʷa
ጒ,ɡʷi
ጕ,ɡʷ
ጠ,tʼə
ጡ,tʼu
ጢ,tʼi
ጣ,tʼa
ጤ,tʼe
ጥ,tʼ
ጦ,tʼo
ጧ,tʼʷa
ጰ,pʼə
ጱ,pʼu
ጲ,pʼi
ጳ,pʼa
ጴ,pʼe
ጵ,pʼ
ጶ,pʼo
ጷ,pʼʷa
ጸ,sʼə
ጹ,sʼu
ጺ,sʼi
ጻ,sʼa
ጼ,sʼe
ጽ,sʼ
ጾ,sʼo
ጿ,sʼwa
ፀ,t͡sʼə
ፁ,t͡sʼu
ፂ,t͡sʼi
ፃ,t͡sʼa
ፄ,t͡sʼe
ፅ,t͡sʼ
ፆ,t͡sʼo
ፈ,fə
ፉ,fu
ፊ,fi
ፋ,fa
ፌ,fe
ፍ,f
ፎ,fo
ፏ,fʷa
ፚ,fjə
ፐ,pə
ፑ,pu
ፒ,pi
ፓ,pa
ፔ,pe
ፕ,p
ፖ,po
ፗ,pʷa
ሸ,ʃə
ሹ,ʃu
ሺ,ʃi
ሻ,ʃa
ሼ,ʃe
ሽ,ʃ
ሾ,ʃo
ሿ,ʃwa
ቐ,kʼə
ቑ,kʼu
ቒ,kʼi
ቓ,kʼa
ቔ,kʼe
ቕ,kʼ
ቖ,kʼo
ቘ,kʼʷə
ቝ,kʼʷi
ቛ,kʼʷa
ቜ,kʼʷe
ቚ,kʼʷ
ቨ,βə
ቩ,βu
ቪ,βi
ቫ,βa
ቬ,βe
ቭ,β
ቮ,βo
ቯ,βʷa
ቸ,t͡ʃə
ቹ,t͡ʃu
ቺ,t͡ʃi
ቻ,t͡ʃa
ቼ,t͡ʃe
ች,t͡ʃ
ቾ,t͡ʃo
ቿ,t͡ʃwa
ⶓ,ŋʷə
ⶔ,ŋʷi
ⶕ,ŋʷe
ⶖ,ŋʷ
ኘ,ɲə
ኙ,ɲu
ኚ,ɲi
ኛ,ɲa
ኜ,ɲe
ኝ,ɲ
ኞ,ɲo
ኟ,ɲwa
ኸ,xə
ኹ,xu
ኺ,xi
ኻ,xa
ኼ,xe
ኽ,x
ኾ,xo
ዀ,hʷə
ዂ,hʷi
ዃ,hʷa
ዄ,hʷe
ዅ,hʷ
ዠ,ʒə
ዡ,ʒu
ዢ,ʒi
ዣ,ʒa
ዤ,ʒe
ዥ,ʒ
ዦ,ʒo
ዧ,ʒwa
ጀ,d͡ʒə
ጁ,d͡ʒu
ጂ,d͡ʒi
ጃ,d͡ʒa
ጄ,d͡ʒe
ጅ,d͡ʒ
ጆ,d͡ʒo
ጇ,d͡ʒwa
ጘ,ŋə
ጙ,ŋu
ጚ,ŋi
ጛ,ŋa
ጜ,ŋe
ጝ,ŋ
ጞ,ŋo
ጟ,ŋʷa
ጨ,t͡ʃʼə
ጩ,t͡ʃʼu
ጪ,t͡ʃʼi
ጫ,t͡ʃʼa
ጬ,t͡ʃʼe
ጭ,t͡ʃʼ
ጮ,t͡ʃʼo
ጯ,t͡ʃʼwa
ጐ,ɡʷe
