Orth,Phon
ሀ,hə
ሁ,hu
ሂ,hi
ሃ,ha
ሄ,he
ህ,hɨ
ሆ,ho
ለ,lə
ሉ,lu
ሊ,li
ላ,la
ሌ,le
ል,lɨ
ሎ,lo
ሏ,lʷa
ሐ,hə
ሑ,hu
ሒ,hi
ሓ,ha
ሔ,he
ሕ,hɨ
ሖ,ho
ሗ,hʷa
መ,mə
ሙ,mu
ሚ,mi
ማ,ma
ሜ,me
ም,mɨ
ሞ,mo
ሟ,mʷa
ፙ,mjə
ሠ,sə
ሡ,su
ሢ,si
ሣ,sa
ሤ,se
ሥ,sɨ
ሦ,so
ሧ,swa
ረ,rə
ሩ,ru
ሪ,ri
ራ,ra
ሬ,re
ር,rɨ
ሮ,ro
ሯ,rʷa
ፘ,rjə
ሰ,sə
ሱ,su
ሲ,si
ሳ,sa
ሴ,se
ስ,sɨ
ሶ,so
ሷ,sʷa
ቀ,kʼə
ቁ,kʼu
ቂ,kʼi
ቃ,kʼa
ቄ,kʼe
ቅ,kʼɨ
ቆ,kʼo
ቋ,kʼʷa
ቈ,kʼʷe
ቍ,kʼʷɨ
በ,bə
ቡ,bu
ቢ,bi
ባ,ba
ቤ,be
ብ,bɨ
ቦ,bo
ቧ,bʷa
ተ,tə
ቱ,tu
ቲ,ti
ታ,ta
ቴ,te
ት,tɨ
ቶ,to
ቷ,tʷa
ኀ,hə
ኁ,hu
ኂ,hi
ኃ,ha
ኄ,he
ኅ,hɨ
ኆ,ho
ኋ,hʷa
ኈ,hʷe
ነ,nə
ኑ,nu
ኒ,ni
ና,na
ኔ,ne
ን,nɨ
ኖ,no
ኗ,nwa
አ,ə
ኡ,u
ኢ,i
ኣ,a
ኤ,e
እ,ɨ
ኦ,o
ኧ,wa
ከ,kə
ኩ,ku
ኪ,ki
ካ,ka
ኬ,ke
ክ,kɨ
ኮ,ko
ኳ,kʷa
ኰ,kʷe
ኵ,kʷɨ
ወ,wə
ዉ,wu
ዊ,wi
ዋ,wa
ዌ,we
ው,wɨ
ዎ,wo
ዐ,ə
ዑ,u
ዒ,i
ዓ,a
ዔ,e
ዕ,ɨ
ዖ,o
ዘ,zə
ዙ,zu
ዚ,zi
ዛ,za
ዜ,ze
ዝ,zɨ
ዞ,zo
ዟ,zʷa
የ,jə
ዩ,ju
ዪ,ji
ያ,ja
ዬ,je
ይ,jɨ
ዮ,jo
ደ,də
ዱ,du
ዲ,di
ዳ,da
ዴ,de
ድ,dɨ
ዶ,do
ዷ,dʷa
ገ,ɡə
ጉ,ɡu
ጊ,ɡi
ጋ,ɡa
ጌ,ɡe
ግ,ɡɨ
ጎ,ɡo
ጓ,ɡʷa
ጒ,ɡʷi
ጕ,ɡʷɨ
ጠ,tʼə
ጡ,tʼu
ጢ,tʼi
ጣ,tʼa
ጤ,tʼe
ጥ,tʼɨ
ጦ,tʼo
ጧ,tʼʷa
ጰ,pʼə
ጱ,pʼu
ጲ,pʼi
ጳ,pʼa
ጴ,pʼe
ጵ,pʼɨ
ጶ,pʼo
ጷ,pʼʷa
ጸ,t͡sʼə
ጹ,t͡sʼu
ጺ,t͡sʼi
ጻ,t͡sʼa
ጼ,t͡sʼe
ጽ,t͡sʼɨ
ጾ,t͡sʼo
ጿ,t͡sʼʷa
ፀ,t͡sʼə
ፁ,t͡sʼu
ፂ,t͡sʼi
ፃ,t͡sʼa
ፄ,t͡sʼe
ፅ,t͡sʼɨ
ፆ,t͡sʼo
ፈ,fə
ፉ,fu
ፊ,fi
ፋ,fa
ፌ,fe
ፍ,fɨ
ፎ,fo
ፏ,fʷa
ፚ,fjə
ፐ,pə
ፑ,pu
ፒ,pi
ፓ,pa
ፔ,pe
ፕ,pɨ
ፖ,po
ፗ,pʷa
ሸ,ʃə
ሹ,ʃu
ሺ,ʃi
ሻ,ʃa
ሼ,ʃe
ሽ,ʃɨ
ሾ,ʃo
ሿ,ʃwa
ቐ,kʼə
ቑ,kʼu
ቒ,kʼi
ቓ,kʼa
ቔ,kʼe
ቕ,kʼɨ
ቖ,kʼo
ቘ,kʼʷə
ቝ,kʼʷi
ቛ,kʼʷa
ቜ,kʼʷe
ቚ,kʼʷɨ
ቨ,və
ቩ,vu
ቪ,vi
ቫ,va
ቬ,ve
ቭ,vɨ
ቮ,vo
ቯ,vʷa
ቸ,t͡ʃə
ቹ,t͡ʃu
ቺ,t͡ʃi
ቻ,t͡ʃa
ቼ,t͡ʃe
ች,t͡ʃɨ
ቾ,t͡ʃo
ቿ,t͡ʃʷa
ⶓ,ŋʷə
ⶔ,ŋʷi
ⶕ,ŋʷe
ⶖ,ŋʷɨ
ኘ,ɲə
ኙ,ɲu
ኚ,ɲi
ኛ,ɲa
ኜ,ɲe
ኝ,ɲɨ
ኞ,ɲo
ኟ,ɲʷa
ኸ,xə
ኹ,xu
ኺ,xi
ኻ,xa
ኼ,xe
ኽ,xɨ
ኾ,xo
ዀ,xʷə
ዂ,xʷi
ዃ,xʷa
ዄ,xʷe
ዅ,xʷɨ
ዠ,ʒə
ዡ,ʒu
ዢ,ʒi
ዣ,ʒa
ዤ,ʒe
ዥ,ʒɨ
ዦ,ʒo
ዧ,ʒʷa
ጀ,d͡ʒə
ጁ,d͡ʒu
ጂ,d͡ʒi
ጃ,d͡ʒa
ጄ,d͡ʒe
ጅ,d͡ʒɨ
ጆ,d͡ʒo
ጇ,d͡ʒʷa
ጘ,ŋə
ጙ,ŋu
ጚ,ŋi
ጛ,ŋa
ጜ,ŋe
ጝ,ŋɨ
ጞ,ŋo
ጟ,ŋʷa
ጨ,t͡ʃʼə
ጩ,t͡ʃʼu
ጪ,t͡ʃʼi
ጫ,t͡ʃʼa
ጬ,t͡ʃʼe
ጭ,t͡ʃʼɨ
ጮ,t͡ʃʼo
ጯ,t͡ʃʼʷa
ጐ,ɡʷe
