Orth,Phon
က,kə
ခ,kʰə
ဂ,ɡə
ဃ,ɡə
င,ŋə
စ,sə
ဆ,sʰə
ဇ,zə
ဈ,zə
ဉ,ɲə
ည,ɲə
ဋ,tə
ဌ,tʰə
ဍ,də
ဎ,də
ဏ,nə
တ,tə
ထ,tʰə
ဒ,də
ဓ,də
န,nə
ပ,pə
ဖ,pʰə
ဗ,bə
ဘ,bə
မ,mə
ယ,jə
ရ,jə
လ,lə
ဝ,wə
သ,θə
ဟ,hə
ဠ,lə
ကျ,t͡ɕə
ချ,t͡ɕʰə
ဂျ,d͡ʑə
ကြ,t͡ɕə
ခြ,t͡ɕʰə
ဂြ,d͡ʑə
ငြ,d͡ʑə
ငှ,ŋ̥ə
ညှ,ɲ̥ə
ဉှ,ɲ̥ə
နှ,n̥ə
မှ,m̥ə
လှ,ɬə
ဝှ,ʍə
ယှ,ʃə
ရှ,ʃə
အ,ʔə
ဣ,ʔi
ဤ,ʔi
ဥ,ʔu
ဦ,ʔu
ဧ,ʔe
ဩ,ʔɔ
ဪ,ʔɔ
ာ,a
ား,a
်,ɛʔ
င်,ɪɴ
င့်,ɪɴ
င်း,ɪɴ
စ်,ɪʔ
ည်,i
ဉ်,ɪɴ
ည့်,i
ဉ့်,ɪɴ
ည်း,i
ဉ်း,ɪɴ
တ်,aʔ
န်,aɴ
န့်,aɴ
န်း,aɴ
ပ်,aʔ
မ်,aɴ
မ့်,aɴ
မ်း,aɴ
ယ်,ɛ
ံ,aɴ
ံ့,aɴ
ံး,aɴ
ိ,i
ိတ်,eɪʔ
ိန်,eɪɴ
ိန့်,eɪɴ
ိန်း,eɪɴ
ိပ်,eɪʔ
ိမ်,eɪɴ
ိမ့်,eɪɴ
ိမ်း,eɪɴ
ိံ,eɪɴ
ိံ့,eɪɴ
ိံး,eɪɴ
ီ,i
ီး,i
ု,u
ုတ်,oʊʔ
ုန်,oʊɴ
ုန့်,oʊɴ
ုန်း,oʊɴ
ုပ်,oʊʔ
ုမ်,oʊɴ
ုမ့်,oʊɴ
ုမ်း,oʊɴ
ုံ,oʊɴ
ုံ့,oʊɴ
ုံး,oʊɴ
ူ,u
ူး,u
ေ,e
ေ့,e
ေး,e
ဲ,ɛ
ဲ့,ɛ
ော,ɔ
ော်,aʊʔ
ောင်,aʊɴ
ောင့်,aʊɴ
ောင်း,aʊɴ
ော့,ɔ
ို,o
ို်,aɪʔ
ိုင်,aɪɴ
ိုင့်,aɪɴ
ိုင်း,aɪɴ
ို့,o
ိုး,o
ွတ်,ʊʔ
ွန်,ʊɴ
ွန့်,ʊɴ
ွန်း,ʊɴ
ွပ်,ʊʔ
ွမ်,ʊɴ
ွမ့်,ʊɴ
ွမ်း,ʊɴ
