Orth,Phon
b,b
c,k
ç,s
d,d
f,f
g,ɡ
gu,ɡw
h,
ig,t͡ʃ
ix,ʃ
j,ʒ
k,k
l,l
ll,ʎ
l·l,lː
m,m
n,n
ny,ɲ
p,p
q,k
qu,kw
r,ɾ
rr,r
s,s
ss,s
t,t
tg,d͡ʒ
tj,d͡ʒ
ts,t͡s
tx,t͡ʃ
tz,d͡z
v,b
w,b
x,ʃ
z,z
bb,bː
bs,ps
bt,pt
ch,k
cn,ɡn
cs,ks
cz,ɡz
dd,dː
dj,d͡ʒ
dq,tk
dqu,tk
ds,ts
dv,db
ff,f
gg,ʒː
igc,t͡ʃs
igd,id͡ʒd
igg,d͡ʒɡ
igj,id͡ʒ
igs,t͡ʃ
tjos,d͡ʒUS
tja,d͡ʒə
tges,d͡ʒəs
kh,x
lch,lk
lds,ls
lls,ʎʃ
lt,lt
lts,ls
mbs,ms
mm,mː
mps,ms
nc,ŋk
nch,ŋk
ncs,ŋks
nds,ns
ng,ŋɡ
ngg,ŋɡː
ngs,ŋks
nm,mː
nn,nː
ntm,mː
nts,ns
nv,mb
nys,ɲʃ
pb,bː
pm,bm
pn,bn
pp,pː
rd,ɾt
rds,ɾts
scs,sks
scos,skus
sh,z
stos,stus
tb,db
tl,dl
tll,ʎː
tm,dm
tn,dn
th,t
tsch,t͡ʃ
xc,ksk
xh,ɡz
xs,ks
a,a
à,a
e,ɛ
è,ɛ
é,e
i,i
í,i
ï,i
o,ɔ
ò,ɔ
ó,o
u,u
ú,u
ü,u
y,i
