Orth,Phon
b,p
p,pʰx
m,m
f,f
v,v
d,t
t,tʰx
n,n
l,l
z,t͡s
c,t͡sʰ
s,s
r,ʐ
j,t͡ɕ
q,t͡ɕʰ
x,ɕ
g,k
k,kʰx
gh,ɣ
ng,ŋ
h,x
zi,t͡sz̩
ci,t͡sʰz̩
si,sz̩
i,i
u,u
y,y
er,əɻ
a,a
ia,i̯a
ua,u̯a
e,ɤ
ue,u̯ɤ
ie,i̯e
ye,y̯e
ai,ai̯
uai,u̯ai̯
ei,e̯i
ui,u̯ei̯
au,au̯
iau,i̯au̯
ou,əu̯
iou,i̯əu̯
an,æ̃
uan,u̯æ̃
on,ɒ̃
ion,i̯ɒ̃
uon,u̯ɒ̃
ang,aŋ
iang,i̯aŋ
uang,u̯aŋ
eng,ə̃ŋ
ing,ĩŋ
ung,ũŋ
yng,ỹŋ
ah,aʔ
iah,i̯aʔ
uah,u̯aʔ
eh,əʔ
ieh,i̯əʔ
ueh,u̯əʔ
yeh,y̯əʔ
rr,z̩ɻ
ir,iɻ
ur,uɻ
yr,yɻ
ar,ɑɻ
iar,i̯ɑɻ
uar,u̯ɑɻ
e'r,ɤɻ
uer,u̯ɤɻ
ier,i̯eɻ
yer,y̯eɻ
air,ɐɻ
uair,u̯ɐɻ
eir,əɻ
uir,u̯əɻ
aur,ɒ̯oɻ
iaur,i̯ɒo̯ɻ
our,ə̯uɻ
iour,i̯əu̯ɻ
anr,æ̃ɻ
uanr,u̯æ̃ɻ
onr,ɒ̃ɻ
ionr,i̯ɒ̃ɻ
uonr,u̯ɒ̃ɻ
engr,ʌ̃ɻ
ingr,ĩɻ
ungr,ũɻ
yngr,ỹɻ
ahr,ɐɻ
iahr,i̯ɐɻ
uahr,u̯ɐɻ
ehr,əɻ
iehr,i̯eɻ
uehr,u̯əɻ
yehr,y̯eɻ
1,˩˩
2,˥˧
3,˦˥
4,˨
5,˥˦
