Orth,Phon
b,p
p,pʰ
m,m
f,f
d,t
t,tʰ
n,n
l,l
g,k
k,kʰ
h,x
j,t͡ɕ
ju,t͡ɕy
q,t͡ɕʰ
qu,t͡ɕʰy
quan,t͡ɕʰy̯ɛn
x,ɕ
xu,ɕy
zh,ʈ͡ʂ
zhi,ʈ͡ʂz̩
ch,ʈ͡ʂʰ
chi,ʈ͡ʂʰz̩
sh,ʂ
shi,ʂz̩
r,ʐ
ri,ʐ̩
z,t͡s
zi,t͡sz̩
c,t͡sʰ
ci,t͡sʰz̩
s,s
si,sz̩
yi,i
wu,u
yu,y
i,i
u,u
ü,y
a,a
ya,i̯ä
ia,i̯ä
o,o
wo,u̯ɔ
uo,u̯ɔ
bo,pu̯ɔ
po,pʰu̯ɔ
mo,mu̯ɔ
fo,fu̯ɔ
e,ɤ
ie,i̯ɛ
ye,i̯ɛ
ai,ai̯
uai,u̯ai̯
wai,u̯ai̯
ei,ei̯
wei,u̯ei̯
ui,u̯ei̯
ao,au̯
iao,i̯au̯
yao,i̯au̯
ou,oʊ̯
you,i̯oʊ̯
iu,i̯oʊ̯
an,an
yan,i̯ɛn
yuan,y̯ɛn
ian,i̯ɛn
en,ən
yin,in
in,in
un,u̯ən
ang,aŋ
iang,i̯aŋ
eng,ɤŋ
ying,iŋ
ing,iŋ
ong,ʊŋ
er,ɻ̩
w,u̯
y,i̯
yue,y̯ɛ
̄,˥
́,˧˥
̌,˨˩
̀,˥˩
yuanr,y̯ɑɻ
iangr,i̯ɑ̃ɻ
yangr,i̯ɑ̃ɻ
uangr,u̯ɑ̃ɻ
wangr,u̯ɑ̃ɻ
yingr,i̯ɤ̃ɻ
wengr,ʊ̃ɻ
iongr,i̯ʊ̃ɻ
yongr,i̯ʊ̃ɻ
yang,i̯ɑŋ
uang,u̯ɑŋ
wang,u̯ɑŋ
weng,u̯əŋ
iong,i̯ʊŋ
yong,i̯ʊŋ
ianr,i̯ɑɻ
yanr,i̯ɑɻ
uair,u̯ɑɻ
wair,u̯ɑɻ
uanr,u̯ɑɻ
wanr,u̯ɑɻ
iaor,i̯aʊ̯ɻʷ
yaor,i̯aʊ̯ɻʷ
üanr,y̯ɑɻ
vanr,y̯ɑɻ
angr,ɑ̃ɻ
yuer,y̯ɛɻ
weir,u̯əɻ
wenr,u̯əɻ
your,i̯ɤʊ̯ɻʷ
yinr,iə̯ɻ
yunr,yə̯ɻ
engr,ɤ̃ɻ
ingr,iɤ̯̃ɻ
ongr,ʊ̃ɻ
air,ɑɻ
anr,ɑɻ
iar,i̯ɑɻ
yar,i̯ɑɻ
uar,u̯ɑɻ
war,u̯ɑɻ
aor,aʊ̯ɻʷ
ier,i̯ɛɻ
yer,i̯ɛɻ
uor,u̯ɔɻ
wor,u̯ɔɻ
üer,y̯ɛɻ
ver,y̯ɛɻ
eir,əɻ
enr,əɻ
uir,u̯əɻ
unr,u̯əɻ
our,ɤʊ̯ɻʷ
iur,i̯ɤʊ̯ɻʷ
inr,iə̯ɻ
ünr,yə̯ɻ
vnr,yə̯ɻ
yir,iə̯ɻ
wur,uɻʷ
yur,yə̯ɻ
yor,i̯ɔɻ
ar,ɑɻ
or,u̯ɔɻ
ir,iə̯ɻ
ur,uɻʷ
ür,yə̯ɻ
vr,yə̯ɻ
