Orth,Phon
i,i
y,i
ÿ,i
î,i
ï,j
ie,i
æ,e
ae,e
aë,aɛ
e,E
è,ɛ
ê,ɛː
ai,ɛ
ei,ɛ
aie,ɛ
ay,ɛj
ey,ɛj
aye,ɛi
aî,ɛː
eî,ɛː
erf,ɛʀ
ez,e
aï,ai
a,a
à,a
aa,a
â,ɑ̃
ao,aɔ
aô,aɔ
aou,au
aoû,au
o,ɔ
oo,ɔɔ
oë,ɔɛ
ô,o
au,o
aw,o
ow,o
eau,o
oe,ɔe
aur,ɔʀ
ou,u
où,u
oû,u
oue,u
ew,ju
u,y
û,y
üe,y
ue,ɥɛ
uï,ɥi
uy,ɥij
eu,EU
œ,œ
œu,ŒU
eû,ø
in,ɛ̃
am,ɑ̃
em,ɑ̃
on,õ
un,œ̃
oui,wi
eoi,wa
oê,wa
oi,wa
oî,wa
oie,wa
oy,waj
ui,ɥi
p,p
pp,p
pt,pT
t,t
tt,t
th,t
cte,t
tch,t͡ʃ
c,k
k,k
q,K
qu,k
cqu,k
cc,CC
ct,kT
xc,ksk
b,b
bb,b
d,d
dd,d
g,ɡ
gg,ɡ 
h,
f,f
ff,f
ph,f
s,s
ç,s
ss,s
sc,sk
st,st
ch,ʃ
sch,ʃ
j,ʒ
v,v
x,ɡz
ix,iS
z,z
l,l
ll,l
r,ʀ
rr,ʀ
w,w
m,m
mm,m
n,n
nn,n
gn,ɲ
bs,
cs,
ds,
fs,
gs,
ps,
ts,
