Orth,Phon
b,b
bb,b
ç,s
c,k
ch,ʃ
d,d
dd,d
f,f
ff,f
g,ɡ
ʒ,ʒ
Ʒ,ʒ
gn,ɲ
ñ,ɲ
h,
k,k
j,j
l,l
ll,l
m,m
mm,m
n,n
nn,n
ng,ŋ
p,p
pp,p
ph,f
r,R
s,s
ss,s
tt,t
t,t
th,t
v,v
w,w
x,ks
z,z
a,a
á,a
à,a
â,a
ai,ɛ
ain,ɛn
aî,ɛ
aï,ai
aie,e
aou,au
aoû,au
eau,o
au,o
ay,e
aye,ej
e,ə
é,e
ée,e
è,ɛ
ê,ɛ
ë,ɛ
ɛ,ɛ
ei,ɛ
eî,ɛ
eu,œ
eû,ø
i,i
ì,i
í,i
î,i
ï,j
ie,i
o,ɔ
ö,ɔ
ô,o
œ,œ
oe,œ
oê,wa
oë,ɔɛ
œu,œ
oi,wa
oie,wa
oï,oi
ou,u
oû,u
oue,u
oy,waj
u,y
ù,y
û,y
ue,ɥɛ
ui,ɥi
ɥ,ɥ
cqu,k
cte,t
qu,k
q,k
tion,sjɔ̃
uil,ɥil
gu,ɡ
il,il
ill,ij
ẫ,â
aî̃,ɛ̃
œ̃,œ̃
ien,jɛ̃
õ,ɔ̃
uẽ,ɥɛ̃
ouễ,wɛ̃
ÿ,i
ɑ̃,ɑ̃
