Orth,Phon
b,p
p,pʰ
m,m
f,f
d,t
t,tʰ
l,l
z,t͡s
c,t͡sʰ
s,s
j,t͡ɕ
q,t͡ɕʰ
x,ɕ
ny,n̠ʲ
g,k
k,kʰ
ng,ŋ
h,h
z,z̩
i,i
u,u
y,y
a,a
ia,i̯a
ua,u̯a
o,o
uo,u̯o
e,e
ie,i̯e
ue,u̯e
ye,y̯e
eo,ɵ
ai,a̯i
uai,u̯ai̯
oi,o̯i
ei,e̯i
ii,ɨi
ui,u̯i
au,a̯u
eu,ɛ̯u
ieu,i̯ɛu̯
iu,i̯u
iiu,ɨ̯u
an,an
uan,u̯an
on,ɵn
uon,u̯ɵn
yon,y̯ɵn
en,ɛn
ien,i̯ɛn
in,in
iin,ɨn
un,un
yn,yn
ang,aŋ
iang,i̯aŋ
uang,u̯aŋ
ong,ɔŋ
iong,i̯ɔŋ
uong,u̯ɔŋ
ung,uŋ
iung,iuŋ
at,at
uat,u̯at
ot,ɵt
uot,uɵt
yot,yɵt
et,ɛt
iet,i̯ɛt
uet,u̯ɛt
it,it
iit,ɨt
ut,ut
yt,yt
ah,aʔ
iah,i̯aʔ
uah,u̯aʔ
oh,ɔʔ
ioh,i̯ɔʔ
uoh,u̯ɔʔ
uh,uʔ
iuh,i̯uʔ
m,m̩
n,n̩
ng,ŋ̍
1,˦˨
2,˨˦
3,˨˩˧
4,˧˥
5,˩˩
6,˥
7,˨
