Orth,Phon
p,p
ph,pʰ
m,m
f,f
v,v
t,t
th,tʰ
n,n
l,l
k,k
ki,k
kh,kʰ
ng,ŋ
ngi,ɲ
h,h
ch,t͡s
chi,t͡ɕ
chh,t͡sʰ
chhi,t͡ɕʰ
s,s
si,ɕ
ṳ,ɨ
i,i
u,u
a,a
ia,i̯a
oa,o̯a
e,e
ie,i̯e
oe,u̯e
o,o
io,i̯o
Bm,m̩
Bn,n̩
Bng,ŋ̍
ai,a̯i
iai,i̯ai̯
oai,u̯ai̯
oi,o̯i
ioi,i̯oi̯
ui,u̯i
iui,i̯ui̯
au,a̯u
iau,i̯au̯
eu,e̯u
iu,i̯u
ṳm,ɨm
im,im
am,am
iam,i̯am
iem,i̯em
em,em
ṳn,ɨn
in,in
an,an
ian,i̯en
oan,u̯an
en,en
ien,i̯en
oen,u̯en
on,on
ion,i̯on
un,un
iun,i̯un
ang,aŋ
iang,i̯aŋ
oang,u̯aŋ
ong,oŋ
iong,i̯oŋ
iung,i̯uŋ
ṳp,ɨp
ip,ip
ap,ap
iap,i̯ap
iep,i̯ep
ep,ep
ṳt,ɨt
it,it
at,at
iat,i̯at
oat,u̯at
et,et
iet,i̯et
oet,u̯et
ot,ot
iot,i̯ot
ut,ut
iut,i̯ut
ak,ak
iak,iak
oak,u̯ak
ok,ok
iok,i̯ok
uk,uk
iuk,i̯uk
̂,˨˦
̀,˩
́,˧˩
̍,˥
