Orth,Phon
あ,a
か,ka
さ,sa
た,ta
な,na
は,ha
ま,ma
や,ja
ら,ɾa
わ,ɰa
が,ɡa
ざ,za
だ,da
ば,ba
ぱ,pa
い,i
き,ki
し,ɕi
ち,t͡ɕi
に,ɲi
ひ,çi
み,mi
り,ɾi
ゐ,ɰi
ぎ,ɡi
じ,ʑi
ぢ,ʑi
び,bi
ぴ,pi
ー,ː
う,ɯ
く,kɯ
す,sɯ
つ,t͡sɯ
ぬ,nɯ
ふ,ɸɯ
む,mɯ
ゆ,jɯ
る,ɾɯ
ぐ,ɡɯ
ず,zɯ
づ,zɯ
ぶ,bɯ
ぷ,pɯ
え,e
け,ke
せ,se
て,te
ね,ne
へ,he
め,me
れ,ɾe
ゑ,ɰe
げ,ɡe
ぜ,ze
で,de
べ,be
ぺ,pe
お,o
こ,ko
そ,so
と,to
の,no
ほ,ho
も,mo
よ,jo
ろ,ɾo
を,ɰo
ご,ɡo
ぞ,zo
ど,do
ぼ,bo
ぽ,po
きゃ,kʲa
しゃ,ɕa
ちゃ,t͡ɕa
にゃ,ɲa
ひゃ,ça
みゃ,mʲa
りゃ,ɾʲa
ぎゃ,ɡʲa
じゃ,ʑa
ぢゃ,ʑa
びゃ,bʲa
ぴゃ,pʲa
きゅ,kʲɯ
しゅ,ɕɯ
ちゅ,t͡ɕɯ
にゅ,ɲɯ
ひゅ,çɯ
みゅ,mʲɯ
りゅ,ɾʲɯ
ぎゅ,ɡʲɯ
じゅ,ʑɯ
ぢゅ,ʑɯ
びゅ,bʲɯ
ぴゅ,pʲɯ
きょ,kʲo
しょ,ɕo
ちょ,t͡ɕo
にょ,ɲo
ひょ,ço
みょ,mʲo
りょ,ɾʲo
ぎょ,ɡʲo
じょ,ʑo
ぢょ,ʑo
びょ,bʲo
ぴょ,pʲo
ん,ɴ
っ,ʔ
