Orth,Phon
ア,a
カ,ka
サ,sa
タ,ta
ナ,na
ハ,ha
マ,ma
ヤ,ja
ラ,ɾa
ワ,ɰa
ガ,ɡa
ザ,za
ダ,da
バ,ba
パ,pa
イ,i
キ,ki
シ,ɕi
チ,t͡ɕi
ニ,ɲi
ヒ,çi
ミ,mi
リ,ɾi
ヰ,ɰi
ギ,ɡi
ジ,ʑi
ヂ,ʑi
ビ,bi
ピ,pi
ー,ː
ウ,ɯ
ク,kɯ
ス,sɯ
ツ,t͡sɯ
ヌ,nɯ
フ,ɸɯ
ム,mɯ
ユ,jɯ
ル,ɾɯ
グ,ɡɯ
ズ,zɯ
ヅ,zɯ
ブ,bɯ
プ,pɯ
エ,e
ケ,ke
セ,se
テ,te
ネ,ne
ヘ,he
メ,me
レ,ɾe
ヱ,ɰe
ゲ,ɡe
ゼ,ze
デ,de
ベ,be
ペ,pe
オ,o
コ,ko
ソ,so
ト,to
ノ,no
ホ,ho
モ,mo
ヨ,jo
ロ,ɾo
ヲ,ɰo
ゴ,ɡo
ゾ,zo
ド,do
ボ,bo
ポ,po
キャ,kʲa
シャ,ɕa
チャ,t͡ɕa
ニャ,ɲa
ヒャ,ça
ミャ,mʲa
リャ,ɾʲa
ギャ,ɡʲa
ジャ,ʑa
ヂャ,ʑa
ビャ,bʲa
ピャ,pʲa
キュ,kʲɯ
シュ,ɕɯ
チュ,t͡ɕɯ
ニュ,ɲɯ
ヒュ,çɯ
ミュ,mʲɯ
リュ,ɾʲɯ
ギュ,ɡʲɯ
ジュ,ʑɯ
ヂュ,ʑɯ
ビュ,bʲɯ
ピュ,pʲɯ
キョ,kʲo
ショ,ɕo
チョ,t͡ɕo
ニョ,ɲo
ヒョ,ço
ミョ,mʲo
リョ,ɾʲo
ギョ,ɡʲo
ジョ,ʑo
ヂョ,ʑo
ビョ,bʲo
ピョ,pʲo
ン,ɴ
ッ,ʔ
