Orth,Phon
ア,a
カ,ka
サ,sa
タ,ta
ナ,na
ハ,ha
マ,ma
ヤ,ja
ラ,ɾa
ワ,ɰa
ガ,ɡa
ザ,za
ダ,da
バ,ba
パ,pa
イ,i
キ,kʲi
シ,ɕi
チ,t͡ɕi
ニ,ɲi
ヒ,çi
ミ,mʲi
リ,ɾʲi
ギ,ɡʲi
ジ,ʑi
ヂ,ʑi
ビ,bʲi
ピ,pʲi
ー,ː
ウ,ɯ
ク,kɯ
ス,sɯ
ツ,t͡sɯ
ヌ,nɯ
フ,ɸɯ
ム,mɯ
ユ,jɯ
ル,ɾɯ
グ,ɡɯ
ズ,zɯ
ヅ,zɯ
ブ,bɯ
プ,pɯ
エ,e
ケ,ke
セ,se
テ,te
ネ,ne
ヘ,he
メ,me
レ,ɾe
ゲ,ɡe
ゼ,ze
デ,de
ベ,be
ペ,pe
オ,o
コ,ko
ソ,so
ト,to
ノ,no
ホ,ho
モ,mo
ヨ,jo
ロ,ɾo
ヲ,o
ゴ,ɡo
ゾ,zo
ド,do
ボ,bo
ポ,po
キャ,kʲa
シャ,ɕa
チャ,t͡ɕa
ニャ,ɲa
ヒャ,ça
ミャ,mʲa
リャ,ɾʲa
ギャ,ɡʲa
ジャ,ʑa
ヂャ,ʑa
ビャ,bʲa
ピャ,pʲa
キュ,kʲɯ
シュ,ɕɯ
チュ,t͡ɕɯ
ニュ,ɲɯ
ヒュ,çɯ
ミュ,mʲɯ
リュ,ɾʲɯ
ギュ,ɡʲɯ
ジュ,ʑɯ
ヂュ,ʑɯ
ビュ,bʲɯ
ピュ,pʲɯ
キョ,kʲo
ショ,ɕo
チョ,t͡ɕo
ニョ,ɲo
ヒョ,ço
ミョ,mʲo
リョ,ɾʲo
ギョ,ɡʲo
ジョ,ʑo
ヂョ,ʑo
ビョ,bʲo
ピョ,pʲo
キェ,kʲe
ギェ,ɡʲe
クァ,kɰa
クィ,kɰi
クェ,kɰe
クォ,kɰo
グァ,ɡɰa
スィ,si
シェ,ɕe
ズィ,zi
ジェ,ʑe
ティ,ti
トゥ,tɯ
テュ,tjɯ
ディ,di
ドゥ,dɯ
デュ,djɯ
ツァ,t͡sa
ツィ,t͡si
ツェ,t͡se
ツォ,t͡so
チェ,t͡ɕe
ニェ,ɲe
ヒェ,çe
イェ,je
ファ,ɸa
フェ,ɸe
フォ,ɸo
フャ,ɸʲa
フィ,ɸʲi
フュ,ɸʲɯ
フョ,ɸʲo
ウィ,ɰi
ウェ,ɰe
ウォ,ɰo
クヮ,kɰa
グヮ,ɡɰa
ヴァ,ba
ヴィ,bʲi
ヴェ,be
ヴォ,bo
ン,ɴ
ッ,ʔ
