Orth,Phon
a,a
aa,aː
b,b
bb,bː
c,tʃ
cc,tʃː
d,d
dd,dː
e,e
ee,eː
f,f
ff,fː
g,ɡ
gg,ɡː
h,h
i,i
ii,iː
j,dʒ
jj,dʒː
k,k
kk,kː
l,l
ll,lː
m,m
mm,mː
n,n
nn,nː
ny,ɲ
nny,ɲː
ng',ŋ
nng',ŋː
o,o
oo,oː
p,p
pp,pː
q,k
r,ɾ
rr,ɾː
s,s
ss,sː
t,t
tt,tː
u,u
uu,uː
v,v
vv,vː
w,w
ww,wː
x,ks
y,j
yy,jː
z,z
zz,zː
mb,ᵐb
mp,ᵐp
nd,ⁿd
nt,ⁿt
nj,ⁿdʒ
nc,ⁿtʃ
nk,ᵑk
ng,ᵑɡ
A,a
AA,aː
Aa,aː
B,b
BB,bː
Bb,bː
C,tʃ
CC,tʃː
Cc,tʃː
D,d
DD,dː
Dd,dː
E,e
EE,eː
Ee,eː
F,f
FF,fː
Ff,fː
G,ɡ
GG,ɡː
Gg,ɡː
H,h
I,i
II,iː
Ii,iː
J,dʒ
JJ,dʒː
Jj,dʒː
K,k
KK,kː
Kk,kː
L,l
LL,lː
Ll,lː
M,m
MM,mː
Mm,mː
N,n
NN,nː
Nn,nː
Ny,ɲ
NY,ɲ
NNy,ɲː
NNY,ɲː
Nny,ɲː
Ng',ŋ
NG',ŋ
NNg',ŋː
NNG',ŋː
Nng',ŋː
O,o
OO,oː
Oo,oː
P,p
PP,pː
Pp,pː
Q,k
R,ɾ
RR,ɾː
Rr,ɾː
S,s
SS,sː
Ss,sː
T,t
TT,tː
Tt,tː
U,u
UU,uː
Uu,uː
V,v
VV,vː
Vv,vː
W,w
WW,wː
Ww,wː
X,ks
Y,j
YY,jː
Yy,jː
Z,z
ZZ,zː
Zz,zː
Mb,ᵐb
MB,ᵐb
Mp,ᵐp
MP,ᵐp
Nd,ⁿd
ND,ⁿd
Nt,ⁿt
NT,ⁿt
Nj,ⁿdʒ
NJ,ⁿdʒ
Nc,ⁿtʃ
NC,ⁿtʃ
Nk,ᵑk
NK,ᵑk
Ng,ᵑɡ
NG,ᵑɡ
bw,bʷ
Bw,bʷ
BW,bʷ
dw,dʷ
Dw,dʷ
DW,dʷ
fw,fʷ
Fw,fʷ
FW,fʷ
gw,ɡʷ
Gw,ɡʷ
GW,ɡʷ
jw,dʒʷ
Jw,dʒʷ
JW,dʒʷ
kw,kʷ
Kw,kʷ
KW,kʷ
lw,lʷ
Lw,lʷ
LW,lʷ
mw,mʷ
Mw,mʷ
MW,mʷ
nw,nʷ
Nw,nʷ
NW,nʷ
pw,pʷ
Pw,pʷ
PW,pʷ
sw,sʷ
Sw,sʷ
SW,sʷ
tw,tʷ
Tw,tʷ
TW,tʷ
vw,vʷ
Vw,vʷ
VW,vʷ
zw,zʷ
Zw,zʷ
ZW,zʷ
',
n',ⁿ
N',ⁿ
