Orth,Phon
ക,ka
ഖ,kʰa
ഗ,ɡa
ഘ,ɡʱa
ങ,ŋa
ച,t͡ʃa
ഛ,t͡ʃʰa
ജ,ɟa
ഝ,ɟʱɦa
ഞ,ɲa
ട,ʈa
ഠ,ʈʰa
ഡ,ɖa
ഢ,ɖʱa
ണ,ɳa
ഺ,ṯa
ഩ,na
ത,t̪a
ഥ,t̪ʰa
ദ,d̪a
ധ,ɖʱa
ന,n̪a
പ,pa
ഫ,fa
ബ,ba
ഭ,bʱa
മ,ma
യ,ja
ര,ɾa
ല,la
വ,ʋa
ശ,ʃa
ഷ,ʂa
സ,sa
ഹ,ɦa
ള,ɭa
ഴ,ɻa
റ,ra
അ,a
ആ,aː
ഇ,i
ഈ,iː
ഉ,u
ഊ,uː
ഋ,rɨ
ൠ,rɨː
ഌ,lɨ
ൡ,lɨː
എ,e
ഏ,eː
ഐ,ai̯
ഒ,o
ഓ,oː
ഔ,au̯
ാ,aː
ി,i
ീ,iː
ു,u
ൂ,uː
ൃ,rɨ
ൄ,rɨː
ൢ,lɨ
ൣ,lɨː
െ,e
േ,eː
ൊ,o
ോ,oː
ൈ,ai̯
ൗ,au̯
ൌ,au̯
ൺ,ɳ
ൻ,n
ർ,r
ൽ,l
ൾ,ɭ
ൿ,k
ൔ,m
ൕ,j
ൖ,ɻ
ഃ,ɦ
ം,m
ന്റ,nṯa
റ്റ,ṯṯa
ഫല,pʰala
ഫണ,pʰaɳa
ഫണ്ട,faɳʈ
