Orth,Phon
ँ,̃
्,्
क,kə
ख,kʰə
ग,ɡə
घ,ɡ̤ə
ङ,ŋə
ह,ɦə
च,t͡ɕə
छ,t͡ɕʰə
ज,d͡ʑə
झ,d͡ʑ̤ə
ञ,ɲə
य,jə
श,ɕə
ट,ʈə
ठ,ʈʰə
ड,ɖə
ढ,ɖ̤ə
ण,ɳə
र,rə
ळ,ɭə
ष,ʂə
त,tə
थ,tʰə
द,də
ध,d̤ə
न,nə
ल,lə
स,sə
प,pə
फ,pʰə
ब,bə
भ,b̤ə
म,mə
व,və
क़,qə
ख़,xə
ग़,ɣə
ज़,zə
झ़,ʑə
फ़,fə
ड़,ɽə
ढ़,ɽ̥ə
क्ष,kɕə
ज्ञ,ɡɲə
अ,a
आ,<ons>aː
ा,aː
इ,<ons>i
ि,i
ई,<ons>iː
ी,iː
उ,<ons>u
ु,u
ऊ,<ons>uː
ू,uː
ऋ,<ons>r̩
ृ,r̩
ॠ,<ons>r̩ː
ॄ,r̩ː
ऌ,<ons>l̩
ॢ,l̩
ॡ,<ons>l̩ː
ॣ,l̩ː
ए,<ons>e
े,e
ऐ,<ons>æː
ै,æː
ओ,<ons>o
ो,o
औ,<ons>ɔː
ौ,ɔː
अं,<ons>N
ं,N
अः,<ons>əh
ः,əh
