Orth,Phon
p,p
ph,pʰ
b,b
m,m
t,t
th,tʰ
n,n
l,l
chi,t͡ɕ
chhi,t͡ɕʰ
si,ɕ
ji,d͡ʑ
ch,t͡s
chh,t͡sʰ
s,s
j,d͡z
k,k
kh,kʰ
g,ɡ
ng,ŋ
h,h
a,a
e,e
ee,ɛ
er,ɘ
or,ɤ
o,ɤ
o͘,ɔ
ong,ɔŋ
om,ɔm
op,ɔp
ok,ɔk
iok,i̯ɔk
i,i
ir,ɨ
u,u
ai,ai̯
au,au̯
ia,i̯a
ian,i̯ɛn
iang,i̯aŋ
iat,i̯ɛt
eng,i̯əŋ
ek,i̯ək
ior,i̯ɤ
io,i̯ɤ
iong,i̯ɔŋ
iu,i̯u
oa,u̯a
oe,u̯e
ui,u̯i
ere,ɘ̯e
eru,ɘ̯u
iau,i̯au̯
oai,u̯ai̯
aⁿ,ã
eⁿ,ẽ
iⁿ,ĩ
oⁿ,ɔ̃
aiⁿ,ãĩ̯
iaⁿ,ĩ̯ã
iuⁿ,ĩ̯ũ
oaⁿ,ũ̯ã
uiⁿ,ũ̯ĩ
iauⁿ,ĩ̯ãũ̯
oaiⁿ,ũ̯ãĩ̯
Bng,ŋ̩
Bm,m̩
́,˥˩
̀,˧˩
̂,˨˦
̌,˨
̄,˧
̍,˥
̋,˧˥
