Orth,Phon
b,b
p,p
ph,pʰ
mb,mb
mph,mpʰ
m,m
ŵ,w
bw,bʷ
pw,pʷ
phw,pʰʷ
mbw,mbʷ
mphw,mpʰʷ
mw,mʷ
w,w
bz,bzʲ
py,pʲ
ps,psʲ
mbz,mbzʲ
mps,mpsʲ
my,mʲ
d,d
t,t
th,tʰ
nd,nd
nth,ntʰ
l,ɽ
r,ɽ
dw,dʷ
tw,tʷ
thw,tʰʷ
ndw,ndʷ
nthw,ntʰʷ
lw,ɽʷ
rw,ɽʷ
dy,dʲ
ty,tʲ
thy,tʰʲ
ndy,ndʲ
nthy,ntʰʲ
g,ɡ
k,k
kh,kʰ
ng,ŋɡ
nkh,nkʰ
ng',ŋ
h,h
gw,gʷ
kw,kʷ
khw,kʰʷ
ngw,ŋgʷ
nkhw,ŋkʰʷ
ng'w,ŋʷ
j,d͡ʒ
ch,t͡ʃ
tch,t͡ʃʰ
nj,nd͡ʒ
ntch,nt͡ʃʰ
ny,ɲ
y,j
v,v
f,f
mv,ɱv
mf,ɱf
vw,vʷ
fw,fʷ
vy,vʲ
fy,fʲ
z,z
s,s
nz,nz
ns,ns
zw,zʷ
sw,sʷ
nzw,nzʷ
nsw,nsʷ
zy,zʲ
sh,ʃ
dz,d͡z
ts,t͡s
ndz,nd͡z
dzw,d͡zʷ
tsw,t͡sʷ
