Orth,Phon
ก,kə
ข,kʰə
ฃ,kʰə
ค,kʰə
ฅ,kʰə
ฆ,kʰə
ง,ŋə
จ,t͡ɕə
ฉ,t͡ɕʰə
ช,t͡ɕʰə
ซ,sə
ฌ,t͡ɕʰə
ญ,jə
ฎ,də
ฏ,tə
ฐ,tʰə
ฑ,tʰə
ฒ,tʰə
ณ,nə
ด,də
ต,tə
ถ,tʰə
ท,tʰə
ธ,tʰə
น,nə
บ,bə
ป,pə
ผ,pʰə
ฝ,fə
พ,pʰə
ฟ,fə
ภ,pʰə
ม,mə
ย,jə
ร,rə
ล,lə
ว,wə
ศ,sə
ษ,sə
ส,sə
ห,hə
ฬ,lə
ฮ,hə
า,aː
ี,iː
ู,uː
เ,eː
เ็,eː
แ,ɛː
ื-,ɯː
ื,ɯː
เอ,ɤː
โ,oː
อ,ɔː
ะ,a
ั,a
ิ,i
ุ,u
เะ,e
เิ,ɤ
แะ,ɛ
ึ,ɯ
เอะ,ɤ
โะ,o
เาะ,ɔ
ไ,aj
ไย,aj
ใ,aj
เียะ,ia̯
เีย,iːa̯
เือะ,ɯa̯
เือ,ɯːa̯
ัวะ,ua̯
ัว,uːa̯
ʔ,ʔ
