Orth,Phon
b,b
c,k
ch,c
d,j
g,ɣ
gh,ɣ
h,h
k,k
kh,x
l,l
m,m
n,n
ng,ŋ
ngh,ŋ
nh,ɲ
p,p
ph,f
r,ʐ
s,ʂ
t,t
th,tʰ
tr,ʈ
v,j
x,s
đ,d
gi,ji
gì,ji
gí,ji
gĩ,ji
gị,ji
quy,wi
qùy,wi
qúy,wi
qũy,wi
qụy,wi
qủy,wi
a,a
e,ɛ
i,i
ia,iə
ià,iə
iá,iə
iã,iə
iê,iə
iạ,iə
iả,iə
iế,iə
iề,iə
iể,iə
iễ,iə
iệ,iə
o,ɔ
oo,ɔ
oò,ɔ
oó,ɔ
oõ,ɔ
oọ,ɔ
oỏ,ɔ
u,u
ua,uə
uô,uə
uơ,uə
uố,uə
uồ,uə
uổ,uə
uỗ,uə
uộ,uə
uờ,uə
uở,uə
uỡ,uə
uợ,uə
y,i
yê,iɛ
yế,iɛ
yề,iɛ
yể,iɛ
yễ,iɛ
yệ,iɛ
à,a
á,a
â,ɤ̆
ã,a
è,ɛ
èo,eo
é,ɛ
éo,eo
ê,e
êu,ɛu
ì,i
ìa,iə
í,i
ía,iə
ò,ɔ
òo,ɔ
ó,ɔ
óo,ɔ
ô,o
ôô,o
ôố,o
ôồ,o
ôổ,o
ôỗ,o
ôộ,o
õ,ɔ
õo,ɔ
ù,u
ùa,uə
ú,u
úa,uə
ý,i
ă,ă
ĩ,i
ĩa,iə
ũ,u
ũa,uə
ơ,ɤ
ư,ɯ
ưa,ɯə
ươ,ɯə
ướ,ɯə
ườ,ɯə
ưở,ɯə
ưỡ,ɯə
ượ,ɯə
ạ,a
ả,a
ấ,ɤ̆
ầ,ɤ̆
ẩ,ɤ̆
ẫ,ɤ̆
ậ,ɤ̆
ắ,ă
ằ,ă
ẳ,ă
ẵ,ă
ặ,ă
ẹ,ɛ
ẹo,eo
ẻ,ɛ
ẻo,eo
ẽ,ɛ
ẽo,eo
ế,e
ếu,ɛu
ề,e
ều,ɛu
ể,e
ểu,ɛu
ễ,e
ễu,ɛu
ệ,e
ệu,ɛu
ỉ,i
ỉa,iə
ị,i
ịa,iə
ọ,ɔ
ọo,ɔ
ỏ,ɔ
ỏo,ɔ
ố,o
ốô,o
ồ,o
ồô,o
ổ,o
ổô,o
ỗ,o
ỗô,o
ộ,o
ộô,o
ớ,ɤ
ờ,ɤ
ở,ɤ
ỡ,ɤ
ợ,ɤ
ụ,u
ụa,uə
ủ,u
ủa,uə
ứ,ɯ
ứa,ɯə
ừ,ɯ
ừa,ɯə
ử,ɯ
ửa,ɯə
ữ,ɯ
ữa,ɯə
ự,ɯ
ựa,ɯə
ỳ,i
ỵ,i
ỷ,i
ỹ,i
oa,a
oe,e
oen,en
oet,et
oà,a
oá,a
oã,a
oè,e
oèn,en
oèt,et
oé,e
oén,en
oét,et
oă,ă
oạ,a
oả,a
oắ,ă
oằ,ă
oẳ,ă
oẵ,ă
oặ,ă
oẹ,e
oẹn,en
oẹt,et
oẻ,e
oẻn,en
oẻt,et
oẽ,e
oẽn,en
oẽt,et
ue,ɛ
uy,i
uya,iə
uyu,iu
uyà,iə
uyá,iə
uyã,iə
uyê,iə
uyù,iu
uyú,iu
uyũ,iu
uyạ,iə
uyả,iə
uyế,iə
uyề,iə
uyể,iə
uyễ,iə
uyệ,iə
uyụ,iu
uyủ,iu
uà,a
uá,a
uâ,ɤ̆
uã,a
uè,ɛ
ué,ɛ
uê,e
uý,i
uýu,iu
uă,ă
uơ,ɤ
uạ,a
uả,a
uấ,ɤ̆
uầ,ɤ̆
uẩ,ɤ̆
uẫ,ɤ̆
uậ,ɤ̆
uắ,ă
uằ,ă
uẳ,ă
uẵ,ă
uặ,ă
uẹ,ɛ
uẻ,ɛ
uẽ,ɛ
uế,e
uề,e
uể,e
uễ,e
uệ,e
uớ,ɤ
uờ,ɤ
uở,ɤ
uỡ,ɤ
uợ,ɤ
uỳ,i
uỳu,iu
uỵ,i
uỵu,iu
uỷ,i
uỷu,iu
uỹ,i
uỹu,iu
òa,a
òe,e
óa,a
óe,e
õa,a
õe,e
ọa,a
ọe,e
ỏa,a
ỏe,e
ai,aj
ao,aw
au,ăw
ay,ăj
eo,ew
iu,iw
iêu,iəw
iếu,iəw
iều,iəw
iểu,iəw
iễu,iəw
iệu,iəw
oi,ɔj
ui,uj
uy,uj
uôi,uəj
uối,uəj
uồi,uəj
uổi,uəj
uỗi,uəj
uội,uəj
yêu,iəw
yếu,iəw
yều,iəw
yểu,iəw
yễu,iəw
yệu,iəw
ài,aj
ào,aw
àu,ăw
ày,ăj
ái,aj
áo,aw
áu,ăw
áy,ăj
âu,ɤ̆w
ây,ɤ̆j
ãi,aj
ão,aw
ãu,ăw
ãy,ăj
èo,ew
éo,ew
ìu,iw
íu,iw
òi,ɔj
ói,ɔj
ôi,oj
õi,ɔj
ùi,uj
ùy,uj
úi,uj
úy,uj
ĩu,iw
ũi,uj
ũy,uj
ơi,ɤj
ưi,ɯj
ưu,ɯw
ươi,ɯəj
ươu,ɯəw
ưới,ɯəj
ướu,ɯəw
ười,ɯəj
ườu,ɯəw
ưởi,ɯəj
ưởu,ɯəw
ưỡi,ɯəj
ưỡu,ɯəw
ượi,ɯəj
ượu,ɯəw
ại,aj
ạo,aw
ạu,ăw
ạy,ăj
ải,aj
ảo,aw
ảu,ăw
ảy,ăj
ấu,ɤ̆w
ấy,ɤ̆j
ầu,ɤ̆w
ầy,ɤ̆j
ẩu,ɤ̆w
ẩy,ɤ̆j
ẫu,ɤ̆w
ẫy,ɤ̆j
ậu,ɤ̆w
ậy,ɤ̆j
ẹo,ew
ẻo,ew
ẽo,ew
ỉu,iw
ịu,iw
ọi,ɔj
ỏi,ɔj
ối,oj
ồi,oj
ổi,oj
ỗi,oj
ội,oj
ới,ɤj
ời,ɤj
ởi,ɤj
ỡi,ɤj
ợi,ɤj
ụi,uj
ụy,uj
ủi,uj
ủy,uj
ứi,ɯj
ứu,ɯw
ừi,ɯj
ừu,ɯw
ửi,ɯj
ửu,ɯw
ữi,ɯj
ữu,ɯw
ựi,ɯj
ựu,ɯw
oai,aj
oao,aw
oay,ăj
oe,ej
oeo,ew
oài,aj
oào,aw
oày,ăj
oái,aj
oáo,aw
oáy,ăj
oãi,aj
oão,aw
oãy,ăj
oè,ej
oèo,ew
oé,ej
oéo,ew
oại,aj
oạo,aw
oạy,ăj
oải,aj
oảo,aw
oảy,ăj
oẹ,ej
oẹo,ew
oẻ,ej
oẻo,ew
oẽ,ej
oẽo,ew
uai,aj
uay,ăj
ueo,ew
uài,aj
uày,ăj
uái,aj
uáy,ăj
uây,ɤ̆j
uãi,aj
uãy,ăj
uèo,ew
uéo,ew
uại,aj
uạy,ăj
uải,aj
uảy,ăj
uấy,ɤ̆j
uầy,ɤ̆j
uẩy,ɤ̆j
uẫy,ɤ̆j
uậy,ɤ̆j
uẹo,ew
uẻo,ew
uẽo,ew
òeo,ew
óeo,ew
õeo,ew
ọeo,ew
ỏeo,ew
