Orth,Phon
a,a˧
ai,aj˧
ao,aw˧
au,ăw˧
ay,ăj˧
b,b
c,k
ch,c
d,z
e,ɛ˧
eo,ew˧
g,ɣ
gh,ɣ
gi,<GI>˧
gì,<GI>˧
gí,<GI>˧
gĩ,<GI>˧˥
gị,<GI>˧˩
h,h
i,i˧
ia,iə˧
iu,iw˧
ià,iə˧
iá,iə˧
iã,iə˧˥
iê,iə˧
iêu,iəw˧
iạ,iə˧˩
iả,iə˧˩˧
iế,iə˧
iếu,iəw˧
iề,iə˧
iều,iəw˧
iể,iə˧˩˧
iểu,iəw˧˩˧
iễ,iə˧˥
iễu,iəw˧˥
iệ,iə˧˩
iệu,iəw˧˩
k,k
kh,x
l,l
m,m
n,n
ng,ŋ
ngh,ŋ
nh,ɲ
o,ɔ˧
oa,wa˧
oai,waj˧
oao,waw˧
oay,wăj˧
oe,wej˧
oen,wen˧
oeo,wew˧
oet,wet˧
oi,ɔj˧
oo,ɔ˧
oà,wa˧
oài,waj˧
oào,waw˧
oày,wăj˧
oá,wa˧
oái,waj˧
oáo,waw˧
oáy,wăj˧
oã,wa˧˥
oãi,waj˧˥
oão,waw˧˥
oãy,wăj˧˥
oè,wej˧
oèn,wen˧
oèo,wew˧
oèt,wet˧
oé,wej˧
oén,wen˧
oéo,wew˧
oét,wet˧
oò,ɔ˧
oó,ɔ˧
oõ,ɔ˧˥
oă,wă˧
oạ,wa˧˩
oại,waj˧˩
oạo,waw˧˩
oạy,wăj˧˩
oả,wa˧˩˧
oải,waj˧˩˧
oảo,waw˧˩˧
oảy,wăj˧˩˧
oắ,wă˧
oằ,wă˧
oẳ,wă˧˩˧
oẵ,wă˧˥
oặ,wă˧˩
oẹ,wej˧˩
oẹn,wen˧˩
oẹo,wew˧˩
oẹt,wet˧˩
oẻ,wej˧˩˧
oẻn,wen˧˩˧
oẻo,wew˧˩˧
oẻt,wet˧˩˧
oẽ,wej˧˥
oẽn,wen˧˥
oẽo,wew˧˥
oẽt,wet˧˥
oọ,ɔ˧˩
oỏ,ɔ˧˩˧
p,p
ph,f
qu,kw˧
quy,kwi˧
qùy,kwi˧
qúy,kwi˧
qũy,kwi˧˥
qụy,kwi˧˩
qủy,kwi˧˩˧
r,z
s,s
t,t
th,tʰ
tr,c
u,u˧
ua,wa˧
uai,waj˧
uay,wăj˧
ue,wɛ˧
ueo,wew˧
ui,uj˧
uy,wi˧
uya,wiə˧
uyu,wiu˧
uyà,wiə˧
uyá,wiə˧
uyã,wiə˧˥
uyê,wiə˧
uyù,wiu˧
uyú,wiu˧
uyũ,wiu˧˥
uyạ,wiə˧˩
uyả,wiə˧˩˧
uyế,wiə˧
uyề,wiə˧
uyể,wiə˧˩˧
uyễ,wiə˧˥
uyệ,wiə˧˩
uyụ,wiu˧˩
uyủ,wiu˧˩˧
uà,wa˧
uài,waj˧
uày,wăj˧
uá,wa˧
uái,waj˧
uáy,wăj˧
uâ,wɤ̆˧
uây,wɤ̆j˧
uã,wa˧˥
uãi,waj˧˥
uãy,wăj˧˥
uè,wɛ˧
uèo,wew˧
ué,wɛ˧
uéo,wew˧
uê,we˧
uô,uə˧
uôi,uəj˧
uý,wi˧
uýu,wiu˧
uă,wă˧
uơ,wɤ˧
uạ,wa˧˩
uại,waj˧˩
uạy,wăj˧˩
uả,wa˧˩˧
uải,waj˧˩˧
uảy,wăj˧˩˧
uấ,wɤ̆˧
uấy,wɤ̆j˧
uầ,wɤ̆˧
uầy,wɤ̆j˧
uẩ,wɤ̆˧˩˧
uẩy,wɤ̆j˧˩˧
uẫ,wɤ̆˧˥
uẫy,wɤ̆j˧˥
uậ,wɤ̆˧˩
uậy,wɤ̆j˧˩
uắ,wă˧
uằ,wă˧
uẳ,wă˧˩˧
uẵ,wă˧˥
uặ,wă˧˩
uẹ,wɛ˧˩
uẹo,wew˧˩
uẻ,wɛ˧˩˧
uẻo,wew˧˩˧
uẽ,wɛ˧˥
uẽo,wew˧˥
uế,we˧
uề,we˧
uể,we˧˩˧
uễ,we˧˥
uệ,we˧˩
uố,uə˧
uối,uəj˧
uồ,uə˧
uồi,uəj˧
uổ,uə˧˩˧
uổi,uəj˧˩˧
uỗ,uə˧˥
uỗi,uəj˧˥
uộ,uə˧˩
uội,uəj˧˩
uớ,wɤ˧
uờ,wɤ˧
uở,wɤ˧˩˧
uỡ,wɤ˧˥
uợ,wɤ˧˩
uỳ,wi˧
uỳu,wiu˧
uỵ,wi˧˩
uỵu,wiu˧˩
uỷ,wi˧˩˧
uỷu,wiu˧˩˧
uỹ,wi˧˥
uỹu,wiu˧˥
v,v
x,s
y,i
yê,iɛ˧
yêu,iəw˧
yế,iɛ˧
yếu,iəw˧
yề,iɛ˧
yều,iəw˧
yể,iɛ˧˩˧
yểu,iəw˧˩˧
yễ,iɛ˧˥
yễu,iəw˧˥
yệ,iɛ˧˩
yệu,iəw˧˩
à,a˧
ài,aj˧
