Orth,Phon
p,p
ph,pʰ
b,b̥
m,m
'm,ʔm
f,f
v,v̥
t,t
th,tʰ
d,d̥
n,n
'n,ʔn
l,l
'l,ʔl
ts,t͡s
tsh,t͡sʰ
s,s
z,z̥
j,t͡ɕ
q,t͡ɕʰ
jj,d̥͡ʑ
ny,n̠ʲ
'ny,ʔn̠ʲ
x,ɕ
xx,ʑ̥
k,k
kh,kʰ
g,ɡ̊
ng,ŋ
'ng,ʔŋ
h,h
hh,ɦ
mm,m̩
ngg,ŋ̍
'mm,ʔm̩
'ngg,ʔŋ̍
1,˥˧
2,˧˦
3,˨˧
4,˥ʔ
5,˩˨ʔ
a,a̱
o,o
au,ɔ
eu,ɜ
e,e̞
oe,ø
i,i
ia,ia̱
io,io
iau,iɔ
ieu,iɜ
u,v̩ʷ
ua,ɯa̱
ue,ɯe̞
uoe,v̩ʷø
y,y
yoe,yø
an,ã
aan,ɑ̃
en,əɲ
on,ʊŋ
aq,a̱ʔ
oq,ʊʔ
eq,əʔ
ian,iã"
iaan,iɑ̃
in,ɪɲ
ion,i̯ʊŋ
iaq,ia̱ʔ
ioq",i̯ʊʔ
iq,i̯ɪʔ
uan,ɯã
uaan,ɯɑ̃
un,ɯə̯ɲ
uaq,ɯa̱ʔ
ueq,ɯə̯ʔ
yn,ʏɲ
yq,ɥ̯ɪʔ
er,əɻ
r,z̩
