IPA,Reromanized
ɣ,gh
ʁ,gh
x,kh
χ,kh
pʰ,p
tʰ,t
ʈʰ,t
cʰ,ch
kʰ,k
qʰ,q
ɡ,g
ʒ,zh
ʝ,y
ʑ,zy
ʃ,sh
ç,sy
ɕ,sy
t͡s,ts
t͡sʰ,ts
d͡z,dz
t͡ʃ,ch
t͡ʃʰ,ch
d͡ʒ,j
ʈ͡ʂ,ch
ʈ͡ʂʰ,ch
t͡ɕ,ch
t͡ɕʰ,ch
d͡ʑ,j
c,ch
cʰ,ch
d͡ʒ,j
ɟ,j
ŋ,ng
ɲ,ny
ɴ,ng
ɨ,ï
ɯ,ï
ɪ,i
ʊ,u
y,ü
ɛ,e
ø,ö
ɔ,o
ʌ,ä
ɤ,ë
ɐ,ä
æ,ä
ɑ,a
ɒ,o
ə,a
ɘ,a
j,y
θ,th
ð,dh
ʔ,ʻ
ħ,ḥ
ɰ,w
sˤ,ṣ
dˤ,ḍ
tˤ,ṭ
zˤ,ẓ
ðˤ,ḍh
ʕ,ʻ
ʈ,t
ɖ,d
ɳ,n
ɽ,r
ʂ,sh
ʐ,zh
ɻ,r
ɭ,l
k͡p,kp
ɡ͡b,gb
b͡d,bd
p͡t,pt
b͡β,bv
k͡x,kkh
p͡ɸ,pf
q͡χ,qkh
ɡ͡ɣ,ggh
ɢ͡ʁ,qr
ɖ͡ʐ,j
ʈ͡ʂ,ch
b͡v,bv
d̪͡z̪,dz
d̪͡ð,dth
p͡f,pf
n̪,n
t̪,t
d̪,d
s̪,s
z̪,z
l̪,l
r̪,r
ɾ̪,r
ɹ̪,r
b̤,bh
d̪̤,dh
d̤,dh
ɖ̤,dh
ɟ̤,jh
ɡ̤,gh
ɓ,b
ɗ,d
ʄ,j
ɠ,g
ʛ,g
iː,ii
eː,ee
ɛː,ee
aː,aa
oː,oo
ɔː,oo
uː,uu
əː,aa
pʼ,p
tʼ,t
ʈʼ,t
cʼ,ch
kʼ,k
qʼ,q
ɹ,r
ɻ,r
ɾ,r
ɸ,f
ɦ,h
pʲ,py
tʲ,ty
kʲ,ky
qʲ,qy
mʲ,my
nʲ,ny
ŋʲ,ngy
rʲ,ry
sʲ,sy
xʲ,xy
zʲ,zy
ɣʲ,ghy
kʷ,kw
kʰʷ,kw
gʷ,gw
qʷ,qw
qʰʷ,qw
xʷ,chw
a̯,a
ɥ,w
ʘ,xh
ǀ,xh
!,xh
ǁ,xh
ǂ,xh
